geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
85224,-6.737624,-33.070845,Sao Paulo,PE
83094,-3.268046,-58.697499,Belo Horizonte,AM
67433,-27.46897,-46.690657,Sao Paulo,SC
60572,-27.294542,-50.164653,Rio de Janeiro,PR
47723,-21.723995,-44.050268,Belo Horizonte,MG
21932,-2.645605,-38.156702,Rio de Janeiro,CE
76987,-24.296186,-49.18551,Sao Paulo,PR
98409,-22.104986,-38.958349,Belo Horizonte,ES
62122,-19.846551,-43.054572,Belo Horizonte,MG
80975,-3.352247,-42.312252,Belo Horizonte,MA
57855,-30.469291,-49.64023,Curitiba,RS
40335,-3.817983,-43.570607,Rio de Janeiro,MA
82868,-3.787306,-36.625136,Curitiba,CE
75352,-22.200359,-44.307779,Belo Horizonte,RJ
56663,-13.551194,-38.432208,Belo Horizonte,BA
21527,-21.415422,-43.14398,Belo Horizonte,RJ
31346,-4.777015,-61.45571,Sao Paulo,AM
67276,-3.275494,-61.490416,Sao Paulo,AM
77919,-4.051714,-39.318614,Rio de Janeiro,CE
28868,-3.354483,-46.598127,Belo Horizonte,PA
84332,-2.080383,-59.601975,Belo Horizonte,AM
35855,-2.288858,-49.866555,Curitiba,PA
17992,-20.327459,-45.890947,Sao Paulo,MG
60883,-2.352696,-46.286222,Curitiba,MA
59420,-17.511181,-50.578913,Rio de Janeiro,GO
19404,-1.559546,-58.571585,Belo Horizonte,AM
68489,-11.85632,-37.609836,Rio de Janeiro,BA
15253,-6.906314,-36.437238,Sao Paulo,PE
73518,-11.993368,-37.114703,Belo Horizonte,BA
11232,-17.668031,-48.863356,Sao Paulo,GO
57738,-2.867336,-61.050393,Belo Horizonte,AM
66902,-14.81237,-36.903653,Belo Horizonte,BA
54652,-27.321861,-48.732678,Rio de Janeiro,SC
47939,-28.57177,-50.353481,Belo Horizonte,RS
21014,-5.022172,-38.551108,Curitiba,CE
88864,-24.866369,-48.438809,Belo Horizonte,PR
34523,-23.118617,-46.71116,Belo Horizonte,SP
48390,-22.298496,-40.938465,Rio de Janeiro,ES
72320,-12.599559,-38.678985,Belo Horizonte,BA
23491,-27.364614,-51.16852,Sao Paulo,PR
34423,-18.535457,-41.41821,Belo Horizonte,ES
78952,-7.021451,-34.420366,Rio de Janeiro,PE
35349,-2.834346,-40.428809,Belo Horizonte,CE
12992,-17.086654,-47.408908,Rio de Janeiro,DF
53225,-5.361297,-37.480528,Rio de Janeiro,CE
68324,-13.854375,-47.889188,Curitiba,DF
34391,-20.796179,-42.093013,Rio de Janeiro,ES
79849,-24.731988,-44.666983,Curitiba,SP
78842,-4.797826,-40.183634,Sao Paulo,CE
24971,-15.011755,-48.795991,Curitiba,GO
24524,-4.185742,-44.202772,Sao Paulo,MA
74195,-19.355816,-43.947338,Rio de Janeiro,MG
99548,-1.796161,-45.21572,Curitiba,MA
19370,-3.343802,-46.663133,Belo Horizonte,PA
69232,-29.395367,-52.545495,Rio de Janeiro,RS
35374,-3.411663,-49.623801,Curitiba,PA
47088,-16.083639,-46.04439,Sao Paulo,DF
91545,-14.894248,-48.791065,Sao Paulo,DF
61718,-18.592111,-43.160668,Rio de Janeiro,MG
14109,-15.715882,-49.659602,Belo Horizonte,DF
42678,-12.580685,-40.029669,Belo Horizonte,BA
97087,-18.543557,-45.284291,Rio de Janeiro,MG
39191,-2.379962,-49.215891,Rio de Janeiro,PA
25869,-21.807047,-43.416415,Rio de Janeiro,RJ
17487,-18.508587,-44.48854,Belo Horizonte,MG
90895,-16.74545,-46.351189,Belo Horizonte,DF
54675,-6.748449,-34.010804,Rio de Janeiro,PE
70254,-2.828524,-49.559798,Sao Paulo,PA
52320,-1.918588,-39.019944,Sao Paulo,CE
64620,-3.062338,-39.293947,Curitiba,CE
66490,-20.481855,-44.680982,Sao Paulo,MG
43109,-21.129232,-38.501993,Belo Horizonte,ES
51392,-1.045703,-43.346656,Belo Horizonte,MA
46713,-1.203926,-46.787082,Sao Paulo,PA
24990,-24.29451,-47.832791,Curitiba,PR
33220,-2.098069,-58.363012,Sao Paulo,AM
95019,-15.398785,-47.637323,Belo Horizonte,DF
31157,-7.901024,-33.762428,Curitiba,PE
73030,-21.561343,-42.705385,Rio de Janeiro,MG
11975,-4.32907,-37.08168,Rio de Janeiro,CE
47717,-22.910072,-43.060223,Rio de Janeiro,RJ
35597,-2.484085,-38.531674,Sao Paulo,CE
12184,-3.784252,-61.69137,Belo Horizonte,AM
21635,0.290947,-47.559405,Rio de Janeiro,PA
91409,-2.603672,-59.036317,Belo Horizonte,AM
80030,-14.881736,-49.633395,Sao Paulo,DF
84668,-26.978657,-49.042897,Belo Horizonte,PR
65330,-2.139332,-60.816752,Belo Horizonte,AM
38329,0.242975,-49.80588,Belo Horizonte,PA
67806,-1.9608,-61.449275,Rio de Janeiro,AM
43977,-14.061629,-38.826152,Rio de Janeiro,BA
91004,-3.776328,-39.413027,Curitiba,CE
76624,-2.68654,-46.62381,Rio de Janeiro,PA
75875,-28.54691,-50.810283,Curitiba,RS
73145,-22.516646,-46.964014,Belo Horizonte,SP
69924,-2.827622,-39.447953,Rio de Janeiro,CE
32725,-18.056393,-48.316081,Belo Horizonte,GO
99378,-6.585128,-35.976908,Curitiba,PE
75777,-2.041101,-59.570435,Sao Paulo,AM
47594,-28.340404,-49.335406,Sao Paulo,RS
72282,-29.439416,-50.628706,Belo Horizonte,RS
15893,-22.281735,-44.86555,Curitiba,SP
19611,-28.847911,-49.318331,Belo Horizonte,SC
47378,-3.639162,-61.680933,Sao Paulo,AM
22628,-3.576978,-45.262047,Rio de Janeiro,MA
82136,-18.998228,-44.84425,Rio de Janeiro,MG
21044,-30.125352,-49.318803,Rio de Janeiro,RS
66955,-29.424722,-52.026446,Curitiba,RS
31578,-27.035166,-49.591735,Belo Horizonte,SC
71639,-4.920135,-38.983201,Sao Paulo,CE
13128,-26.851293,-49.654406,Sao Paulo,PR
55851,-21.457949,-43.338212,Belo Horizonte,RJ
67363,-4.364813,-60.945222,Rio de Janeiro,AM
90933,-27.869107,-48.513673,Belo Horizonte,SC
70299,-19.648795,-38.911446,Curitiba,ES
27447,-21.473569,-39.26529,Rio de Janeiro,ES
68986,-7.423469,-35.336112,Sao Paulo,PE
98182,-28.906627,-47.527758,Rio de Janeiro,SC
18506,-26.53424,-49.300932,Rio de Janeiro,PR
31967,-20.204377,-43.079391,Curitiba,MG
57046,-23.151461,-47.634855,Rio de Janeiro,SP
90423,-19.321769,-39.607897,Belo Horizonte,ES
66023,-1.065168,-50.281745,Sao Paulo,PA
94124,-18.114408,-45.813306,Belo Horizonte,MG
75743,-11.777549,-39.658627,Rio de Janeiro,BA
98308,-24.893184,-45.029912,Sao Paulo,RJ
79107,-22.051544,-38.794738,Sao Paulo,ES
42134,-11.968381,-38.523142,Belo Horizonte,BA
34339,-23.792494,-49.09362,Sao Paulo,PR
22411,-8.73778,-36.855669,Curitiba,PE
31555,-0.265567,-46.634011,Sao Paulo,PA
39075,-18.085307,-47.3574,Belo Horizonte,GO
38475,-26.509107,-48.984901,Belo Horizonte,PR
27935,-14.222087,-39.401374,Rio de Janeiro,BA
73608,-23.477084,-49.64727,Sao Paulo,PR
54322,-28.302805,-48.135904,Curitiba,SC
77601,-3.242855,-49.702217,Curitiba,PA
81377,-25.824464,-47.081406,Sao Paulo,SC
24063,-8.144837,-33.856923,Sao Paulo,PE
57603,-20.59106,-42.788654,Curitiba,MG
99030,-12.619046,-40.184829,Sao Paulo,BA
59247,-22.560514,-43.523089,Curitiba,RJ
95835,-2.950757,-43.795274,Rio de Janeiro,MA
45632,-17.701368,-48.639948,Curitiba,GO
69585,-22.088702,-45.320979,Belo Horizonte,SP
47946,-16.486822,-48.603997,Curitiba,GO
98552,-5.214528,-39.167875,Rio de Janeiro,CE
30801,-26.910284,-48.034172,Curitiba,PR
58264,-7.220997,-35.601071,Rio de Janeiro,PE
46908,-1.197277,-43.561227,Rio de Janeiro,MA
81834,-16.987232,-48.648982,Belo Horizonte,GO
82627,-26.962444,-50.352253,Rio de Janeiro,SC
92313,-26.384654,-47.717221,Belo Horizonte,SC
18991,-5.158768,-37.589655,Curitiba,CE
14342,-21.24002,-42.646012,Belo Horizonte,RJ
19083,-11.122119,-38.907766,Sao Paulo,BA
55131,-1.268974,-47.007603,Rio de Janeiro,PA
79011,-16.293972,-49.906471,Belo Horizonte,DF
80748,-4.881826,-59.23903,Rio de Janeiro,AM
72719,-15.181343,-46.722103,Sao Paulo,DF
33651,-4.719417,-58.959633,Belo Horizonte,AM
74638,-2.003162,-58.78986,Sao Paulo,AM
49593,-14.781602,-37.164482,Rio de Janeiro,BA
54082,-15.184335,-48.928495,Belo Horizonte,GO
84539,-14.842277,-49.19016,Curitiba,GO
43521,-22.293793,-47.919335,Curitiba,SP
39716,-20.76239,-40.682937,Rio de Janeiro,ES
15037,-3.107053,-45.854665,Rio de Janeiro,MA
99032,-25.821257,-47.466574,Belo Horizonte,PR
34859,-29.741328,-49.379239,Rio de Janeiro,RS
44153,-7.260833,-35.23919,Sao Paulo,PE
21112,-4.44716,-40.144719,Sao Paulo,CE
79750,-23.7025,-45.306364,Belo Horizonte,SP
25071,-17.234493,-46.222207,Rio de Janeiro,DF
50206,-26.834502,-47.686916,Curitiba,SC
10454,-27.145221,-49.630038,Rio de Janeiro,SC
77220,-17.555938,-47.48974,Rio de Janeiro,GO
51337,-27.43651,-49.239962,Rio de Janeiro,SC
79744,-21.832274,-44.32471,Belo Horizonte,MG
88681,-4.704964,-61.201077,Sao Paulo,AM
21238,-1.676924,-46.046651,Curitiba,MA
85264,-18.657547,-48.983299,Curitiba,GO
31546,-24.987782,-50.450454,Curitiba,PR
84015,-0.69531,-43.061908,Sao Paulo,MA
75194,-30.977035,-49.348232,Sao Paulo,RS
88596,-3.004391,-45.914602,Rio de Janeiro,MA
34971,-20.260852,-38.908175,Belo Horizonte,ES
58372,-21.366555,-39.629696,Curitiba,ES
22207,-12.379781,-38.734897,Belo Horizonte,BA
40432,-23.019849,-43.083556,Sao Paulo,RJ
46501,-14.618069,-39.406704,Belo Horizonte,BA
70325,-28.927971,-49.12802,Rio de Janeiro,SC
14432,-18.565182,-43.801777,Curitiba,MG
47054,-25.903139,-48.066917,Rio de Janeiro,PR
48269,-25.233837,-50.282533,Curitiba,PR
14628,-24.779029,-44.687332,Rio de Janeiro,SP
68103,-21.533013,-42.245201,Belo Horizonte,MG
64787,-7.295084,-35.939618,Sao Paulo,PE
75146,-20.248536,-42.594966,Curitiba,MG
73945,-1.851084,-49.305889,Belo Horizonte,PA
36246,-24.843718,-48.328909,Rio de Janeiro,SP
43909,-28.265943,-50.566597,Sao Paulo,RS
48854,-21.024394,-43.747978,Curitiba,MG
63791,-23.90012,-49.164625,Sao Paulo,PR
25040,-23.741481,-44.041545,Sao Paulo,RJ
33775,-17.649242,-49.841837,Rio de Janeiro,DF
58870,-25.625298,-49.413041,Curitiba,PR
15469,-22.030452,-41.250906,Belo Horizonte,RJ
35064,-31.608471,-53.221726,Belo Horizonte,RS
55654,-22.066872,-40.831484,Sao Paulo,ES
46775,-26.393484,-49.568459,Sao Paulo,SC
67234,-5.155457,-40.507163,Rio de Janeiro,CE
36871,-7.671483,-34.900797,Sao Paulo,PE
23303,-24.694298,-48.6619,Rio de Janeiro,PR
42991,-2.433725,-59.423383,Rio de Janeiro,AM
35824,-3.755953,-44.619152,Belo Horizonte,MA
21111,-28.804223,-46.994409,Rio de Janeiro,SC
15072,-1.122808,-47.37185,Curitiba,PA
35690,-3.435762,-42.99051,Sao Paulo,MA
16327,-17.189486,-49.917641,Sao Paulo,DF
53128,-28.092459,-53.071896,Curitiba,RS
92975,-26.267615,-50.323394,Sao Paulo,PR
47929,-4.678245,-39.649079,Sao Paulo,CE
38135,-4.61199,-58.929684,Curitiba,AM
81528,-22.534436,-45.751086,Curitiba,SP
89830,-16.081409,-49.292041,Belo Horizonte,GO
22176,-19.582202,-45.816663,Sao Paulo,MG
66073,-20.00903,-42.530111,Curitiba,MG
85986,-31.186124,-50.398374,Rio de Janeiro,RS
50973,-5.339608,-40.230653,Belo Horizonte,CE
74237,-2.763834,-39.309076,Curitiba,CE
30857,-23.56759,-42.962569,Rio de Janeiro,RJ
11753,-14.672921,-46.168587,Curitiba,DF
51328,-16.755421,-47.882625,Rio de Janeiro,DF
94751,-2.621726,-45.03925,Rio de Janeiro,MA
29723,-0.325481,-48.787986,Rio de Janeiro,PA
83112,-25.642954,-51.156265,Sao Paulo,PR
71106,-3.027266,-58.639337,Curitiba,AM
37264,-20.758277,-42.151769,Curitiba,MG
63427,-29.831243,-51.404874,Sao Paulo,RS
62845,-25.403793,-50.012813,Rio de Janeiro,PR
69908,-24.649573,-48.119155,Sao Paulo,PR
76262,-29.504917,-47.160669,Curitiba,SC
69892,-24.78858,-42.218507,Curitiba,RJ
70189,-1.950891,-43.655245,Belo Horizonte,MA
12199,-7.707291,-32.987139,Sao Paulo,PE
32243,-5.605434,-37.559609,Sao Paulo,CE
50866,-4.172589,-38.26941,Belo Horizonte,CE
98632,-2.013746,-45.712647,Curitiba,MA
73841,-2.984149,-49.717728,Rio de Janeiro,PA
11384,-28.50075,-49.126227,Curitiba,SC
58484,-4.213153,-44.674503,Curitiba,MA
49398,-25.914036,-47.58113,Curitiba,SC
98962,-19.395441,-40.886159,Belo Horizonte,ES
97629,-12.572456,-39.416457,Sao Paulo,BA
71807,-4.176137,-39.021693,Sao Paulo,CE
26576,-21.79623,-43.083033,Sao Paulo,RJ
16622,-23.312793,-44.494469,Belo Horizonte,RJ
48517,0.221296,-49.075914,Curitiba,PA
85089,-17.351766,-49.791367,Belo Horizonte,GO
93735,-24.522747,-45.288002,Curitiba,SP
59840,-22.120117,-42.417969,Sao Paulo,RJ
55571,-22.867047,-44.323027,Sao Paulo,RJ
42297,-30.254767,-49.837028,Sao Paulo,RS
21281,-14.862149,-47.803459,Belo Horizonte,DF
49608,-6.819526,-35.088772,Rio de Janeiro,PE
63453,-22.344315,-46.421632,Sao Paulo,SP
35831,-30.873762,-50.786961,Curitiba,RS
21203,-2.283122,-59.258612,Sao Paulo,AM
18627,-2.811189,-36.970632,Belo Horizonte,CE
47982,-14.336164,-37.689293,Rio de Janeiro,BA
23579,-2.280736,-39.049625,Rio de Janeiro,CE
62460,-3.493734,-61.278622,Rio de Janeiro,AM
99154,-23.26316,-44.847223,Curitiba,SP
65105,-26.61433,-48.026249,Curitiba,PR
14146,-4.855698,-39.962035,Rio de Janeiro,CE
53436,-7.680005,-34.336841,Curitiba,PE
74437,-6.956565,-34.659557,Sao Paulo,PE
67589,-20.291318,-45.35232,Belo Horizonte,MG
72385,-27.789361,-47.455982,Belo Horizonte,SC
18166,-0.800242,-43.578924,Rio de Janeiro,MA
89917,-1.284826,-43.540134,Sao Paulo,MA
80240,-20.976341,-42.56103,Belo Horizonte,MG
55031,-22.518671,-47.776001,Curitiba,SP
13914,-25.407325,-47.533415,Belo Horizonte,PR
20482,-2.379212,-58.417325,Rio de Janeiro,AM
95514,-28.560214,-47.241837,Belo Horizonte,SC
86515,-3.812258,-43.200197,Sao Paulo,MA
13914,-24.787933,-48.031928,Belo Horizonte,PR
96819,-15.66692,-49.37855,Belo Horizonte,GO
35691,-0.905626,-44.736573,Rio de Janeiro,MA
13975,-30.294345,-50.186747,Belo Horizonte,RS
21409,-6.817246,-35.537763,Sao Paulo,PE
74792,-2.946619,-61.24106,Belo Horizonte,AM
35526,-14.697456,-38.980109,Belo Horizonte,BA
34588,-18.142063,-44.868983,Sao Paulo,MG
60764,-27.268184,-48.688235,Rio de Janeiro,PR
51386,-1.943096,-47.537849,Curitiba,PA
73057,-17.653524,-48.42263,Belo Horizonte,GO
33760,-14.334393,-47.940433,Sao Paulo,DF
65454,-11.150786,-37.296855,Curitiba,BA
59746,-30.269939,-51.892606,Sao Paulo,RS
22889,-10.997462,-36.781954,Curitiba,BA
80543,-1.604482,-44.881963,Sao Paulo,MA
85083,-4.723843,-61.4898,Rio de Janeiro,AM
55070,-28.992731,-50.620997,Sao Paulo,RS
52783,-23.852694,-44.835392,Belo Horizonte,RJ
49473,-18.37045,-39.580339,Sao Paulo,ES
91946,-4.495671,-45.662609,Sao Paulo,MA
70355,-27.094799,-50.027278,Sao Paulo,SC
95467,-17.210298,-48.58448,Rio de Janeiro,GO
30343,-17.765831,-49.919428,Curitiba,DF
44077,-8.577729,-32.945354,Rio de Janeiro,PE
79166,-24.10575,-43.390483,Belo Horizonte,RJ
90003,-2.382461,-60.490355,Belo Horizonte,AM
31579,-27.206276,-50.37905,Curitiba,SC
32545,-7.988853,-35.716647,Belo Horizonte,PE
55621,-6.344673,-34.766943,Sao Paulo,PE
97517,-28.275612,-49.496658,Rio de Janeiro,SC
97413,-25.192543,-46.262293,Rio de Janeiro,SP
90654,-17.961588,-47.638328,Curitiba,GO
97784,-23.663353,-49.413449,Rio de Janeiro,PR
54852,-25.944808,-49.581352,Belo Horizonte,PR
12061,-26.139548,-47.58616,Curitiba,PR
51818,-14.904847,-49.691449,Belo Horizonte,GO
31199,-1.602175,-59.51016,Sao Paulo,AM
88801,-11.621044,-38.42585,Rio de Janeiro,BA
70454,-4.632137,-60.286602,Belo Horizonte,AM
70357,-22.871609,-42.342644,Curitiba,RJ
95450,-1.964545,-61.560404,Belo Horizonte,AM
86579,-1.923761,-44.303002,Curitiba,MA
97858,-16.488552,-50.535544,Belo Horizonte,GO
16585,-29.202192,-49.316337,Curitiba,SC
68382,-20.755023,-44.711865,Curitiba,MG
18559,-25.614537,-48.396754,Curitiba,SC
92310,0.152161,-47.832654,Sao Paulo,PA
59956,-17.421794,-48.276898,Rio de Janeiro,DF
72817,-15.492151,-46.972056,Curitiba,DF
32187,-3.13738,-37.214719,Belo Horizonte,CE
37676,-22.795099,-48.547292,Curitiba,SP
25173,-25.237277,-45.920509,Sao Paulo,SP
50567,-29.742871,-52.385828,Rio de Janeiro,RS
93951,-30.926332,-51.755407,Rio de Janeiro,RS
81198,-27.453333,-46.554159,Rio de Janeiro,SC
11250,-1.889674,-38.674746,Belo Horizonte,CE
25928,-2.202071,-61.30155,Curitiba,AM
15538,-23.523055,-41.529985,Curitiba,RJ
54232,-25.01568,-45.217633,Belo Horizonte,SP
56773,-18.471407,-50.062678,Belo Horizonte,GO
58184,-28.527306,-48.169074,Rio de Janeiro,SC
82278,-3.62093,-45.498622,Belo Horizonte,MA
50212,-16.233397,-47.496449,Sao Paulo,GO
62515,-10.035501,-33.107859,Belo Horizonte,PE
12269,-17.39093,-50.451721,Belo Horizonte,GO
26547,-27.884732,-46.560729,Curitiba,SC
27793,-2.82238,-58.36106,Sao Paulo,AM
41118,-22.778576,-46.153222,Rio de Janeiro,SP
17476,-21.705536,-40.61756,Sao Paulo,ES
31927,-3.646009,-37.280785,Curitiba,CE
75616,-24.276652,-47.73084,Curitiba,PR
91060,-2.401405,-37.117638,Rio de Janeiro,CE
88899,-4.514976,-45.585621,Curitiba,MA
19325,-29.189552,-50.103715,Belo Horizonte,SC
78509,-14.546788,-38.652316,Curitiba,BA
55231,-16.985505,-49.613932,Rio de Janeiro,GO
46501,-4.874222,-38.813954,Rio de Janeiro,CE
42814,-21.400123,-42.809034,Sao Paulo,MG
42297,-26.370067,-47.179132,Rio de Janeiro,SC
24729,-28.054305,-53.085149,Rio de Janeiro,RS
76719,-15.501752,-48.959753,Sao Paulo,DF
98436,-16.170221,-46.596777,Rio de Janeiro,DF
64487,-14.040742,-36.975958,Rio de Janeiro,BA
49241,-15.665419,-49.907586,Sao Paulo,GO
33148,-30.791323,-52.093021,Rio de Janeiro,RS
89699,-4.889897,-61.844838,Sao Paulo,AM
50081,-28.830969,-47.597863,Rio de Janeiro,SC
84208,-2.09891,-59.414942,Curitiba,AM
39168,-7.656283,-36.566995,Sao Paulo,PE
86896,-31.63847,-50.773348,Sao Paulo,RS
27694,-15.797049,-50.72224,Sao Paulo,GO
51637,-16.808372,-47.902877,Sao Paulo,DF
43338,-4.354208,-61.549696,Sao Paulo,AM
17633,-1.040774,-45.400938,Sao Paulo,MA
85203,-24.685656,-41.546722,Belo Horizonte,RJ
12386,-18.459215,-48.291621,Rio de Janeiro,GO
21845,-15.160523,-49.714241,Sao Paulo,GO
71557,-26.040125,-50.490718,Sao Paulo,PR
53922,-8.537996,-35.095789,Curitiba,PE
43293,-9.543827,-36.015326,Curitiba,PE
28288,-3.035321,-44.832105,Curitiba,MA
81665,-3.974344,-42.409111,Sao Paulo,MA
39290,-18.782542,-38.780255,Curitiba,ES
82207,-2.880686,-48.555386,Sao Paulo,PA
48229,-2.978548,-40.366477,Belo Horizonte,CE
56859,-18.600695,-50.481128,Sao Paulo,GO
34563,-20.447103,-45.40945,Belo Horizonte,MG
75343,-4.412942,-58.752544,Belo Horizonte,AM
46710,-19.131159,-39.236537,Belo Horizonte,ES
93608,-17.728123,-50.37627,Sao Paulo,GO
71891,-15.139878,-47.780895,Belo Horizonte,GO
89626,-17.219397,-48.941853,Belo Horizonte,GO
67924,-19.457482,-38.605336,Sao Paulo,ES
63882,-17.540978,-47.644146,Curitiba,DF
37490,-21.232293,-44.123073,Belo Horizonte,RJ
90575,-18.385836,-50.754267,Belo Horizonte,GO
29666,-24.519904,-44.873794,Belo Horizonte,RJ
25086,-3.851807,-43.586717,Curitiba,MA
66850,-29.498972,-49.273733,Curitiba,SC
75678,-3.177149,-61.295494,Curitiba,AM
67188,-5.209024,-40.304084,Rio de Janeiro,CE
10703,-20.905688,-44.580039,Sao Paulo,RJ
62053,-26.869428,-47.878721,Belo Horizonte,SC
28935,-23.13621,-45.552085,Curitiba,SP
19035,-13.52074,-38.172854,Belo Horizonte,BA
19729,-24.229319,-43.66797,Sao Paulo,RJ
79260,-1.203506,-59.506755,Belo Horizonte,AM
91959,-21.226701,-42.250109,Rio de Janeiro,MG
89065,-25.743941,-49.830128,Rio de Janeiro,PR
11160,-30.36583,-51.344804,Belo Horizonte,RS
55139,-4.329264,-39.803407,Curitiba,CE
94059,-18.102401,-49.126185,Curitiba,GO
25374,-4.780987,-36.990764,Sao Paulo,CE
63804,-14.145458,-48.594814,Sao Paulo,DF
79204,-9.353616,-33.778645,Rio de Janeiro,PE
68858,-31.626385,-49.678107,Belo Horizonte,RS
28115,-30.478323,-52.292351,Curitiba,RS
97493,-24.016215,-48.696762,Curitiba,PR
44813,-25.44779,-44.751296,Sao Paulo,SP
28874,-0.609161,-42.924142,Curitiba,MA
