order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD_000291,1,credit_card,3,213.79
ORD_000292,1,credit_card,1,580.98
ORD_000293,1,credit_card,1,22.16
ORD_000294,1,debit_card,2,475.33
ORD_000295,1,credit_card,2,60.41
ORD_000296,1,credit_card,2,105.93
ORD_000297,1,voucher,2,43.63
ORD_000298,1,boleto,2,327.9
ORD_000299,1,credit_card,2,299.74
ORD_000300,1,debit_card,12,65.53
ORD_000301,1,debit_card,3,494.13
ORD_000302,1,boleto,6,126.04
ORD_000303,1,credit_card,2,41.43
ORD_000304,1,boleto,3,425.34
ORD_000305,1,voucher,1,680.17
ORD_000306,1,boleto,6,333.43
ORD_000307,1,voucher,12,380.97
ORD_000308,1,credit_card,12,537.56
ORD_000309,1,voucher,1,501.53
ORD_000310,1,credit_card,12,127.32
ORD_000311,1,debit_card,2,135.57
ORD_000312,1,debit_card,6,308.24
ORD_000313,1,debit_card,3,187.37
ORD_000314,1,debit_card,12,65.57
ORD_000315,1,boleto,3,113.31
ORD_000316,1,boleto,1,161.28
ORD_000317,1,voucher,6,535.71
ORD_000318,1,boleto,1,605.53
ORD_000319,1,voucher,1,60.55
ORD_000320,1,credit_card,1,235.09
ORD_000321,1,credit_card,1,178.05
ORD_000322,1,debit_card,6,81.17
ORD_000323,1,voucher,1,140.71
ORD_000324,1,boleto,1,92.89
ORD_000325,1,boleto,6,108.23
ORD_000326,1,boleto,1,365.01
ORD_000327,1,voucher,1,268.69
ORD_000328,1,voucher,12,361.97
ORD_000329,1,voucher,1,160.8
ORD_000330,1,voucher,1,89.35
ORD_000331,1,boleto,12,282.61
ORD_000332,1,credit_card,3,57.82
ORD_000333,1,credit_card,6,700.78
ORD_000334,1,debit_card,1,83.78
ORD_000335,1,credit_card,1,40.18
ORD_000336,1,credit_card,2,94.86
ORD_000337,1,debit_card,3,250.54
ORD_000338,1,voucher,1,289.58
ORD_000339,1,voucher,1,471.79
ORD_000340,1,voucher,12,51.14
ORD_000341,1,debit_card,1,407.37
ORD_000342,1,boleto,3,579.08
ORD_000343,1,voucher,2,110.54
ORD_000344,1,debit_card,1,538.79
ORD_000345,1,voucher,12,106.59
ORD_000346,1,debit_card,2,273.55
ORD_000347,1,boleto,1,172.65
ORD_000348,1,credit_card,3,124.0
ORD_000349,1,credit_card,3,109.66
ORD_000350,1,credit_card,3,267.24
ORD_000351,1,boleto,6,247.75
ORD_000352,1,credit_card,1,121.5
ORD_000353,1,voucher,1,131.7
ORD_000354,1,debit_card,2,95.28
ORD_000355,1,debit_card,1,83.32
ORD_000356,1,voucher,1,49.96
ORD_000357,1,credit_card,1,376.17
ORD_000358,1,debit_card,6,95.58
ORD_000359,1,voucher,6,102.48
ORD_000360,1,credit_card,1,237.65
ORD_000361,1,debit_card,1,64.03
ORD_000362,1,boleto,3,120.96
ORD_000363,1,credit_card,1,573.99
ORD_000364,1,voucher,1,239.71
ORD_000365,1,boleto,1,116.0
ORD_000366,1,credit_card,1,95.83
ORD_000367,1,boleto,1,93.56
ORD_000368,1,boleto,1,143.35
ORD_000369,1,boleto,3,294.82
ORD_000370,1,boleto,1,281.28
ORD_000371,1,voucher,3,206.58
ORD_000372,1,credit_card,2,130.71
ORD_000373,1,credit_card,1,151.11
ORD_000374,1,credit_card,1,124.78
ORD_000375,1,boleto,1,60.0
ORD_000376,1,credit_card,12,221.1
ORD_000377,1,boleto,6,103.7
ORD_000378,1,debit_card,1,82.39
ORD_000379,1,debit_card,1,76.03
ORD_000380,1,credit_card,3,118.32
ORD_000381,1,boleto,2,715.13
ORD_000382,1,voucher,3,135.16
ORD_000383,1,boleto,1,200.22
ORD_000384,1,debit_card,12,341.56
ORD_000385,1,boleto,1,80.36
ORD_000386,1,voucher,3,205.75
ORD_000387,1,debit_card,12,255.26
ORD_000388,1,debit_card,3,202.61
ORD_000389,1,voucher,6,108.55
ORD_000390,1,credit_card,12,247.17
ORD_000391,1,credit_card,3,47.78
ORD_000392,1,debit_card,2,352.27
ORD_000393,1,boleto,2,173.1
ORD_000394,1,voucher,1,159.54
ORD_000395,1,boleto,1,343.47
ORD_000396,1,debit_card,2,129.1
ORD_000397,1,debit_card,2,150.19
ORD_000398,1,debit_card,2,468.53
ORD_000399,1,debit_card,1,81.37
ORD_000400,1,voucher,12,359.76
ORD_000401,1,debit_card,12,221.22
ORD_000402,1,credit_card,1,98.68
ORD_000403,1,debit_card,2,47.07
ORD_000404,1,voucher,1,104.93
ORD_000405,1,debit_card,1,164.79
ORD_000406,1,credit_card,1,316.79
ORD_000407,1,boleto,12,26.4
ORD_000408,1,voucher,2,108.23
ORD_000409,1,boleto,6,150.56
ORD_000410,1,voucher,3,156.31
ORD_000411,1,credit_card,6,76.74
ORD_000412,1,credit_card,1,71.69
ORD_000413,1,credit_card,3,91.22
ORD_000414,1,debit_card,1,260.86
ORD_000415,1,voucher,6,117.2
ORD_000416,1,credit_card,6,229.08
ORD_000417,1,voucher,6,121.09
ORD_000418,1,voucher,1,284.51
ORD_000419,1,boleto,6,89.79
ORD_000420,1,credit_card,12,217.13
ORD_000421,1,boleto,6,230.98
ORD_000422,1,credit_card,2,59.33
ORD_000423,1,credit_card,1,191.02
ORD_000424,1,voucher,1,220.45
ORD_000425,1,debit_card,2,446.33
ORD_000426,1,debit_card,1,73.75
ORD_000427,1,voucher,2,108.47
ORD_000428,1,voucher,1,64.46
ORD_000429,1,credit_card,1,101.5
ORD_000430,1,boleto,12,179.92
ORD_000431,1,boleto,1,162.35
ORD_000432,1,boleto,1,179.62
ORD_000433,1,voucher,3,67.46
ORD_000434,1,credit_card,6,106.1
ORD_000435,1,voucher,1,219.72
ORD_000436,1,debit_card,12,160.4
ORD_000437,1,boleto,1,243.15
ORD_000438,1,credit_card,6,516.42
ORD_000439,1,debit_card,6,221.47
ORD_000440,1,voucher,3,262.72
ORD_000441,1,voucher,3,79.86
ORD_000442,1,credit_card,6,130.44
ORD_000443,1,debit_card,1,144.63
ORD_000444,1,voucher,1,235.65
ORD_000445,1,voucher,1,448.54
ORD_000446,1,debit_card,1,79.48
ORD_000447,1,credit_card,6,46.01
ORD_000448,1,boleto,3,86.48
ORD_000449,1,credit_card,1,34.89
ORD_000450,1,boleto,2,117.39
ORD_000451,1,credit_card,3,86.59
ORD_000452,1,credit_card,3,137.83
ORD_000453,1,credit_card,2,443.31
ORD_000454,1,voucher,3,102.08
ORD_000455,1,voucher,1,517.55
ORD_000456,1,voucher,1,123.68
ORD_000457,1,credit_card,1,242.12
ORD_000458,1,boleto,2,124.55
ORD_000459,1,credit_card,6,94.92
ORD_000460,1,debit_card,2,135.49
ORD_000461,1,debit_card,1,343.43
ORD_000462,1,debit_card,1,329.32
ORD_000463,1,boleto,2,162.6
ORD_000464,1,boleto,1,33.24
ORD_000465,1,credit_card,2,187.11
ORD_000466,1,voucher,1,86.68
ORD_000467,1,voucher,1,162.37
ORD_000468,1,debit_card,12,75.02
ORD_000469,1,voucher,1,48.2
ORD_000470,1,debit_card,6,664.36
ORD_000471,1,credit_card,12,266.74
ORD_000472,1,voucher,3,61.95
ORD_000473,1,credit_card,12,51.66
ORD_000474,1,voucher,6,111.29
ORD_000475,1,credit_card,1,165.58
ORD_000476,1,boleto,2,55.99
ORD_000477,1,credit_card,3,88.57
ORD_000478,1,voucher,2,459.51
ORD_000479,1,voucher,2,165.31
ORD_000480,1,voucher,1,375.54
ORD_000481,1,credit_card,12,222.34
ORD_000482,1,voucher,6,89.16
ORD_000483,1,boleto,6,65.96
ORD_000484,1,credit_card,1,64.39
ORD_000485,1,voucher,2,68.32
ORD_000486,1,boleto,12,152.54
ORD_000487,1,debit_card,6,94.05
ORD_000488,1,credit_card,3,107.52
ORD_000489,1,voucher,1,65.71
ORD_000490,1,boleto,1,122.48
ORD_000491,1,voucher,3,90.95
ORD_000492,1,debit_card,1,229.1
ORD_000493,1,boleto,12,101.75
ORD_000494,1,voucher,1,178.47
ORD_000495,1,credit_card,1,117.84
ORD_000496,1,credit_card,1,163.98
ORD_000497,1,voucher,3,154.41
ORD_000498,1,boleto,2,313.98
ORD_000499,1,credit_card,2,109.4
ORD_000500,1,boleto,2,111.28
ORD_000501,1,voucher,1,113.4
ORD_000502,1,debit_card,2,399.09
ORD_000503,1,credit_card,1,149.21
ORD_000504,1,voucher,1,120.02
ORD_000505,1,credit_card,12,231.98
ORD_000506,1,credit_card,6,208.03
ORD_000507,1,debit_card,3,448.31
ORD_000508,1,boleto,6,175.66
ORD_000509,1,credit_card,2,286.08
ORD_000510,1,debit_card,1,54.1
ORD_000511,1,boleto,2,100.52
ORD_000512,1,debit_card,12,103.39
ORD_000513,1,debit_card,1,85.16
ORD_000514,1,credit_card,3,205.68
ORD_000515,1,credit_card,3,104.61
ORD_000516,1,debit_card,1,140.87
ORD_000517,1,boleto,6,283.1
ORD_000518,1,voucher,3,242.82
ORD_000519,1,debit_card,1,73.48
ORD_000520,1,boleto,3,111.58
ORD_000521,1,debit_card,6,248.5
ORD_000522,1,credit_card,6,290.36
ORD_000523,1,debit_card,12,206.4
ORD_000524,1,voucher,1,133.38
ORD_000525,1,debit_card,1,83.34
ORD_000526,1,voucher,1,411.11
ORD_000527,1,voucher,1,448.8
ORD_000528,1,boleto,3,375.62
ORD_000529,1,debit_card,2,97.7
ORD_000530,1,boleto,1,98.95
ORD_000531,1,credit_card,12,74.73
ORD_000532,1,debit_card,1,399.52
ORD_000533,1,credit_card,6,469.77
ORD_000534,1,credit_card,1,201.16
ORD_000535,1,boleto,1,136.84
ORD_000536,1,boleto,1,576.33
ORD_000537,1,boleto,2,236.28
ORD_000538,1,credit_card,2,57.78
ORD_000539,1,debit_card,2,475.1
ORD_000540,1,boleto,3,153.3
ORD_000541,1,voucher,1,402.96
ORD_000542,1,credit_card,1,179.42
ORD_000543,1,boleto,2,391.84
ORD_000544,1,boleto,1,102.24
ORD_000545,1,debit_card,6,149.84
ORD_000546,1,credit_card,6,103.85
ORD_000547,1,credit_card,1,74.16
ORD_000548,1,credit_card,12,218.61
ORD_000549,1,credit_card,2,244.86
ORD_000550,1,debit_card,2,115.48
ORD_000551,1,debit_card,6,332.39
ORD_000552,1,voucher,1,189.73
ORD_000553,1,debit_card,1,163.18
ORD_000554,1,credit_card,3,136.28
ORD_000555,1,boleto,6,98.26
ORD_000556,1,credit_card,3,195.07
ORD_000557,1,credit_card,3,185.78
ORD_000558,1,credit_card,12,371.29
ORD_000559,1,boleto,6,97.12
ORD_000560,1,boleto,1,72.69
ORD_000561,1,voucher,1,168.21
ORD_000562,1,voucher,3,347.59
ORD_000563,1,credit_card,1,249.32
ORD_000564,1,debit_card,2,213.89
ORD_000565,1,credit_card,1,566.93
ORD_000566,1,boleto,12,542.24
ORD_000567,1,voucher,1,426.56
ORD_000568,1,credit_card,1,93.86
ORD_000569,1,boleto,6,303.61
ORD_000570,1,credit_card,1,388.26
ORD_000571,1,voucher,6,82.39
ORD_000572,1,boleto,6,126.85
ORD_000573,1,boleto,1,216.64
ORD_000574,1,debit_card,1,90.32
ORD_000575,1,debit_card,1,169.03
ORD_000576,1,voucher,1,710.81
ORD_000577,1,debit_card,1,190.68
ORD_000578,1,credit_card,1,209.64
ORD_000579,1,debit_card,12,231.02
ORD_000580,1,debit_card,12,767.04
ORD_000581,1,voucher,3,185.03
ORD_000582,1,boleto,2,94.83
ORD_000583,1,boleto,2,110.3
ORD_000584,1,credit_card,3,88.77
ORD_000585,1,boleto,1,653.36
ORD_000586,1,voucher,3,203.64
ORD_000587,1,boleto,1,73.78
ORD_000588,1,boleto,3,79.89
ORD_000589,1,boleto,2,377.6
ORD_000590,1,voucher,3,172.04
ORD_000591,1,credit_card,3,73.88
ORD_000592,1,debit_card,1,59.47
ORD_000593,1,voucher,2,147.09
ORD_000594,1,credit_card,3,618.55
ORD_000595,1,voucher,1,134.3
ORD_000596,1,boleto,12,419.28
ORD_000597,1,boleto,1,57.27
ORD_000598,1,boleto,1,107.72
ORD_000599,1,voucher,3,452.69
ORD_000600,1,boleto,6,148.52
ORD_000601,1,boleto,2,212.19
ORD_000602,1,credit_card,3,78.73
ORD_000603,1,boleto,1,312.98
ORD_000604,1,debit_card,3,332.59
ORD_000605,1,voucher,2,68.25
ORD_000606,1,debit_card,1,175.3
ORD_000607,1,voucher,6,84.17
ORD_000608,1,voucher,6,210.97
ORD_000609,1,boleto,1,378.0
ORD_000610,1,debit_card,1,324.77
ORD_000611,1,credit_card,6,83.18
ORD_000612,1,debit_card,6,108.76
ORD_000613,1,voucher,2,72.05
ORD_000614,1,debit_card,6,104.06
ORD_000615,1,credit_card,1,121.69
ORD_000616,1,credit_card,1,89.85
ORD_000617,1,boleto,6,314.54
ORD_000618,1,credit_card,3,146.26
ORD_000619,1,voucher,3,82.44
ORD_000620,1,voucher,3,259.08
ORD_000621,1,voucher,1,539.78
ORD_000622,1,voucher,6,98.13
ORD_000623,1,voucher,1,87.84
ORD_000624,1,credit_card,1,321.66
ORD_000625,1,credit_card,3,1211.91
ORD_000626,1,credit_card,1,134.97
ORD_000627,1,credit_card,6,145.77
ORD_000628,1,debit_card,3,186.66
ORD_000629,1,credit_card,3,75.69
ORD_000630,1,boleto,2,57.49
ORD_000631,1,credit_card,2,343.89
ORD_000632,1,debit_card,2,31.34
ORD_000633,1,voucher,3,163.23
ORD_000634,1,debit_card,1,53.76
ORD_000635,1,debit_card,2,129.3
ORD_000636,1,voucher,6,277.26
ORD_000637,1,credit_card,1,157.29
ORD_000638,1,credit_card,2,288.97
ORD_000639,1,voucher,1,620.2
ORD_000640,1,boleto,2,227.17
ORD_000641,1,boleto,1,400.87
ORD_000642,1,boleto,2,181.11
ORD_000643,1,voucher,2,152.02
ORD_000644,1,credit_card,12,40.55
ORD_000645,1,voucher,1,109.93
ORD_000646,1,boleto,1,246.41
ORD_000647,1,voucher,1,176.62
ORD_000648,1,debit_card,1,136.2
ORD_000649,1,voucher,12,275.09
ORD_000650,1,voucher,3,492.29
ORD_000651,1,boleto,1,409.24
ORD_000652,1,debit_card,1,216.32
ORD_000653,1,voucher,1,567.35
ORD_000654,1,debit_card,1,108.49
ORD_000655,1,voucher,1,92.82
ORD_000656,1,credit_card,1,86.26
ORD_000657,1,boleto,2,549.58
ORD_000658,1,boleto,1,51.17
ORD_000659,1,credit_card,1,527.99
ORD_000660,1,debit_card,3,254.65
ORD_000661,1,debit_card,3,142.22
ORD_000662,1,boleto,12,215.8
ORD_000663,1,voucher,2,401.32
ORD_000664,1,boleto,2,51.06
ORD_000665,1,boleto,2,95.37
ORD_000666,1,voucher,3,213.2
ORD_000667,1,boleto,2,124.45
ORD_000668,1,debit_card,12,106.06
ORD_000669,1,boleto,2,76.22
ORD_000670,1,voucher,1,102.99
ORD_000671,1,credit_card,3,165.19
ORD_000672,1,debit_card,2,169.51
ORD_000673,1,boleto,3,217.13
ORD_000674,1,voucher,2,84.2
ORD_000675,1,boleto,3,42.9
ORD_000676,1,debit_card,2,123.65
ORD_000677,1,credit_card,1,705.86
ORD_000678,1,voucher,1,203.03
ORD_000679,1,voucher,1,678.25
ORD_000680,1,credit_card,1,410.21
ORD_000681,1,voucher,2,197.92
ORD_000682,1,voucher,2,134.82
ORD_000683,1,debit_card,1,73.43
ORD_000684,1,debit_card,2,35.87
ORD_000685,1,credit_card,6,108.25
ORD_000686,1,boleto,2,101.61
ORD_000687,1,voucher,1,200.84
ORD_000688,1,boleto,2,78.18
ORD_000689,1,voucher,12,72.44
ORD_000690,1,credit_card,12,296.31
ORD_000691,1,boleto,6,252.05
ORD_000692,1,credit_card,2,267.98
ORD_000693,1,credit_card,1,344.68
ORD_000694,1,debit_card,1,369.58
ORD_000695,1,debit_card,1,117.37
ORD_000696,1,boleto,12,128.65
ORD_000697,1,credit_card,3,102.28
ORD_000698,1,credit_card,6,180.23
ORD_000699,1,debit_card,1,350.38
ORD_000700,1,credit_card,1,185.66
ORD_000701,1,debit_card,1,267.3
ORD_000702,1,voucher,2,130.79
ORD_000703,1,debit_card,2,140.16
ORD_000704,1,debit_card,6,168.74
ORD_000705,1,boleto,1,207.56
ORD_000706,1,boleto,2,638.68
ORD_000707,1,voucher,3,390.04
ORD_000708,1,credit_card,3,130.17
ORD_000709,1,credit_card,12,517.92
ORD_000710,1,voucher,6,149.83
ORD_000711,1,boleto,1,46.0
ORD_000712,1,credit_card,1,95.48
ORD_000713,1,debit_card,3,107.89
ORD_000714,1,boleto,2,164.93
ORD_000715,1,voucher,2,79.09
